Topology, Topology Parsed, All-Pairs-Connected Policy Generated, Portless Policy compiled, Portful Policy compiled
Arpanet196912,0.00119304656982,0.000168085098267,0.00176382064819,0.00266909599304
Renam,0.00127696990967,0.000319004058838,0.00283789634705,0.00449299812317
Mren,0.00175809860229,0.000466823577881,0.00482702255249,0.00787401199341
Telecomserbia,0.00192308425903,0.000411033630371,0.00508809089661,0.00724601745605
Epoch,0.00220608711243,0.000468969345093,0.00499796867371,0.00854301452637
Napnet,0.00179100036621,0.000432014465332,0.00432682037354,0.00857901573181
Layer42,0.00263214111328,0.000573873519897,0.00635004043579,0.00875902175903
Nordu1989,0.00198698043823,0.000548839569092,0.00674104690552,0.00986099243164
Basnet,0.00182914733887,0.000540018081665,0.00605797767639,0.0107619762421
Sanren,0.00263404846191,0.00098991394043,0.00889086723328,0.00999307632446
Getnet,0.0021378993988,0.000562906265259,0.00676608085632,0.0105209350586
Gblnet,0.00224804878235,0.000802040100098,0.0110938549042,0.0141110420227
Dataxchange,0.0021960735321,0.000471830368042,0.00439405441284,0.00741910934448
HiberniaIreland,0.00224089622498,0.000894069671631,0.0102429389954,0.0145530700684
Netrail,0.00232911109924,0.000623941421509,0.00677108764648,0.0132110118866
Heanet,0.00334215164185,0.000779867172241,0.00924205780029,0.0136868953705
Nordu2005,0.00227308273315,0.00104689598083,0.0146601200104,0.0231108665466
Arpanet19706,0.00271105766296,0.00096583366394,0.0142211914062,0.0193469524384
Ai3,0.00279688835144,0.00153303146362,0.0211131572723,0.0248529911041
Cesnet1993,0.0028281211853,0.00156903266907,0.0199248790741,0.0240471363068
Nsfcnet,0.00321698188782,0.00137996673584,0.0148839950562,0.0216381549835
Itnet,0.00304198265076,0.00169110298157,0.0249099731445,0.032928943634
Singaren,0.00302386283875,0.00195813179016,0.0253758430481,0.0318729877472
JanetExternal,0.00329804420471,0.00189685821533,0.0212621688843,0.0231149196625
Padi,0.00328993797302,0.00296020507812,0.00732398033142,0.0101668834686
Abilene,0.0035240650177,0.00164794921875,0.0308010578156,0.0361800193787
TLex,0.00332999229431,0.00171995162964,0.0307459831238,0.0480580329895
Cesnet1999,0.00363802909851,0.0028669834137,0.0409791469574,0.0449299812317
Cesnet1997,0.0032639503479,0.00296807289124,0.0394899845123,0.0388798713684
Kreonet,0.00339818000793,0.00227880477905,0.0421981811523,0.0495738983154
Eenet,0.00416302680969,0.00314903259277,0.0448980331421,0.0423159599304
Gridnet,0.00469207763672,0.00115299224854,0.0136988162994,0.0293080806732
HiberniaCanada,0.00394797325134,0.00242686271667,0.0481181144714,0.0421528816223
